[卖国求荣, 填鸭式]
[高铁, 熟铁]
[敦实, 就寝]
[京官, 高官]
[熟字, 识字]
[京杭, 高校]
[高升, 毫升]
[高攀, 襄樊]
[高要, 就要]
[男性, 辅助性]
[高楼, 豪杰]
[高枕, 就枕]
[高杆, 高枝]
[京西, 衰朽]
[就近, 误按]
[高挑, 哀挽]
[就看, 享年]
[高扬, 豪气]
[高品质, 高挂]
[豪门, 敲门]
[一丝不挂, 素愿]
[识辨, 衰减]
[衰竭, 高音]
[衰惫, 交响乐团]
[熟悉, 哀愁]
[就行, 高中生]
[就算, 高处]
[训练, 熟练]
[毫分, 高分]
[就像, 高低]
[高企, 高个]
[衰退, 哀恳]
[高谈, 衰变]
[毒素, 一张一弛]
[哀诉, 就义]
[就说, 识谱]
[豪语, 敦请]
[高调, 烹调]
[互惠, 副经理]
[亚细亚, 素来]
[高强, 豪强]
[胃酸, 男丁]
[胃部, 胃癌]
[四月份, 男人]
[万维网, 毒贩]
[男方, 辅助设计]
[毒杀, 毒打]
[毒瘾, 素闻]
[园艺, 转世]
[毒物, 素称]
[围攻, 黑莓]
[素颜, 互道]
[罢职, 转职]
[素装, 素养]
[素净, 毒瘤]
[转干, 四十二]
[置办, 黑脸]
[毒化, 严丝合缝]
[素食, 互信]
[转来, 黑恶]
[互谅, 互访]
[互为, 夷族]
[墨晶, 团日]
[连云港, 黔江]
[墨渍, 黑光]
[班期, 琼斯]
[转岗, 黑山]
[正义感, 玉石]
[一方面, 两方面]
[一言不发, 玉成]
[黑客, 黑牢]
[正言厉色, 一文不名]
[转业, 置业]
[斑驳, 斑马]
[斑蝥, 一言难尽]
[团年, 较去年]
[五六十, 天诛地灭]
[转折, 黑白]
[置换, 转换]
[置留, 黑鸟]
[团拜, 围拢]
[黑钻, 园外]
[黑猫, 围猎]
[默祷, 罗志祥]
[开诚布公, 一文不值]
[黯然, 默然]
[墨笔, 罢笔]
[置入, 转入]
[团校, 转述]
[转租, 转盘]
[转行, 转生]
[转机, 黑枪]
[天主教, 来访者]
[再就是, 班师]
[一言堂, 天文学]
[置前, 黑瘦]
[车载斗量, 团章]
[救亡图存, 班固]
[黑线, 团结]
[四十八分, 黑人]
[开放性, 理论性]
[玉山, 琼山]
[默哀, 黑亮]
[理论家, 更衣室]
[平方米, 玉米]
[褒贬不一, 调研]
[调速, 调整]
[观战, 观点]
[玉符, 斑秃]
[车匪, 车臣]
[班务, 玉盘]
[调动, 调运]
[班长, 副市长]
[车友, 畏友]
[国威, 车厂]
[畏难, 国难]
[玉门, 一言半语]
[玉兰, 一语道破]
[高山景行, 文曲星]
[轻裘肥马, 车胎]
[班主任, 副主任]
[图形卡, 车上]
[国画, 连环画]
[国球, 国王]
[车速, 国事]
[国都, 国教]
[玉帝, 斑斓]
[观灯, 观摩]
[并联, 前苏联]
[罪恶滔天, 国光]
[并蒂, 闷葫芦]
[调匀, 诺贝尔奖]
[刻骨铭心, 调包]
[谋财害命, 市容]
[车号, 国号]
[辐照, 车照]
[车轮, 国界]
[市制, 调制]
[市立, 调阅]
[黑五类, 国庆]
[国库, 车库]
[调笑, 讪笑]
[车灯, 车床]
[连珠炮, 车底]
[并口, 瓶口]
[车钱, 回形针]
[国策, 车行]
[国务, 车船]
[辅机, 车检]
[迸发, 并发]
[客队, 军乐队]
[国门, 车门]
[国母, 国纪]
[国父, 国风]
[辅件, 四平八稳]
[车贷, 国代]
[辅修, 国企]
[并重, 并行]
[安乐死, 客死]
[国旗, 国旅]
[车旁, 国事访问]
[国语, 车主]
[巴东, 豫东]
[预感, 通情达理]
[家务活, 安徽省]
[并将, 单项奖]
[扇子, 房子]
[记取, 赢取]
[巴巴, 柔柔]
[盲区, 扇区]
[启用, 雇用]
[记忆力, 盲肠]
[并线, 冻结]
[并从, 奠基人]
[遍历, 刻有]
[并州, 并为]
[词法, 记法]
[永清, 忘光]
[四三, 四厂]
[额定, 客家]
[牢度, 额度]
[肩上, 刻上]
[盲目, 词频]
[诗情画意, 扁平]
[预演, 巴掌]
[诀别, 永别]
[巴蜀, 柔软]
[安身之处, 牢牢]
[永济, 盲流]
[牢笼, 客籍]
[客船, 客舱]
[扇贝, 记帐]
[四叔, 罩上]
[四两, 罪责]
[词曲, 词典]
[主心骨, 刻骨]
[予以, 巴以]
[戏剧性, 柔性]
[预购, 预见]
[客票, 客栈]
[罪过, 甲壳]
[户数, 记数]
[甲申, 甲虫]
[四时, 四野]
[妄断, 望断]
[预定, 戏剧家]
[肇庆, 词类]
[宅门, 牢门]
[牢头, 额头]
[牢稳, 寄生物]
[词儿, 词锋]
[客人, 被告人]
[房客, 记牢]
[客舍, 家长会]
[预兆, 巴尔]
[矜持, 矛盾]
[房室, 赢家]
[六尺之孤, 刻字]
[订书机, 离心机]
[扁桃, 房檐]
[四书, 甲乙]
[甲胄, 甲骨]
[被称为, 被选为]
[巴乔, 预知]
[罪囚, 四轮]
[四家, 甲寅]
[肩头, 户头]
[记着, 望着]
[妄称, 言必称]
[永生, 启行]
[记分, 记仇]
[记住, 记念]
[雇佣, 齐心合力]
[亡命, 记叙]
[戏剧化, 柔化]
[予人, 巴人]
[刻录, 记录]
[肇始, 房奴]
[甲种, 四种]
[盲文, 妄言]
[四柱, 四核]
[补牙, 被卧]
[罪行, 四重]
[预设, 预交]
[夜以继日, 房费]
[实验, 被骗]
[罩着, 四点半]
[四级, 甲级]
[罩住, 四邻]
[补碘, 衬布]
[四段, 四伏]
[实感, 初三]
[实在, 初夏]
[初五, 初一]
[裸考, 补考]
[四六, 甲亢]
[甲方, 四方]
[被动, 被劫]
[裕兴, 补光]
[变出, 谈出]
[弯子, 蛮子]
[塑身, 逆向]
[变革, 亦或]
[初战, 实战]
[审判员, 守门员]
[塑件, 疗伤]
[逆风, 闻风]
[亦不, 亦在]
[初时, 实时]
[叠床架屋, 预应力]
[变天, 谈天]
[变坏, 栾城]
[初四, 被罩]
[裸官, 审判官]
[谈清, 谈兴]
[宰割, 被害]
[实数, 初唐]
[实习, 补习]
[实属, 补发]
[变味, 谈吐]
[裸捐, 被扣]
[褪色, 褐色]
[谜题, 变量]
[补钙, 被铺]
[袖长, 审判长]
[实行, 初生]
[弯曲, 恋曲]
[补校, 补述]
[补白, 实拍]
[被杀, 宰杀]
[实据, 补气]
[衬垫, 实招]
[弯度, 高精度]
[黑油油, 黑洞洞]
[裨益, 补益]
[初次, 被盗]
[圆溜溜, 黑溜溜]
[谈心, 变心]
[裙装, 补养]
[变性, 商业性]
[补单, 被单]
[初冬, 补税]
[补缴, 空前绝后]
[裸婚, 初婚]
[痛死, 痛歼]
[亦可, 恋歌]
[补课, 补齐]
[初识, 初衷]
[衬衣, 裸衣]
[变装, 蛮烟瘴雨]
[商业街, 变迁]
[蛮牛, 孪生]
[弯矩, 变短]
[主席令, 变焦]
[为数众多, 蛮像]
[谈何, 变体]
[变价, 恋人]
[商业化, 变化]
[痛骂, 痛哭]
[亦会, 谈会]
[变为, 谈话]
[突如其来, 安葬]
[安东, 福如东海]
[变幻, 恋母]
[曾参杀人, 痛失]
[这双, 这又]
[案源, 安源]
[被剥削, 安溪]
[痛痒, 瘙痒]
[案桌, 安卓]
[案中, 安踏]
[普通人, 瘫坐]
[六神不安, 高官厚禄]
[言之有物, 这帮]
[这不, 这还]
[六神无主, 言之无文]
[言之无物, 这才]
[这场, 这块]
[安定, 安家]
[这里, 这时]
[安危, 安然]
[安神, 安祥]
[凑巧, 送葬]
[斗破苍穹, 兰蔻]
[安徽, 安身]
[为祖国, 这辆]
[决不能, 并不能]
[安娜, 安妮]
[观察室, 观察家]
[关防, 冷不防]
[案头, 案卷]
[送出, 辨出]
[兰花, 送花]
[案几, 案件]
[案例, 安全]
[送爽, 郑爽]
[送达, 兼而有之]
[卷面, 头面]
[减至, 送到]
[关起, 送走]
[兰考, 辩才]
[安亭, 安享]
[送股, 头脸]
[减去, 送去]
[亲耐滴, 关注]
[这将, 这次]
[凑活, 减少]
[拳法, 减法]
[辨清, 誊清]
[关口, 半成品]
[关中, 凑足]
[减号, 头号]
[辨别, 送别]
[辨明, 辩明]
[空勤, 穿鞋]
[社会工作, 窗花]
[安全区, 军分区]
[关心, 卷尺]
[窠臼, 空腹]
[凑钱, 送钱]
[头角, 辩解]
[头饰, 送饭]
[突袭, 空袭]
[空码, 安全码]
[害人不浅, 空耗]
[空有, 罕有]
[突兀, 冗赘]
[关机, 送检]
[北大西洋, 辫梢]
[总成本, 冷不丁]
[祸从天降, 突击]
[卷板, 辨析]
[辩手, 辣手]
[窑坑, 社会教育]
[穿戴, 空载]
[穿越, 突起]
[减损, 道不拾遗]
[头部, 状况]
[豢养, 关闭]
[减产, 头疼]
[兰新, 送亲]
[辣酱, 头奖]
[窑洞, 空洞]
[减息, 头版]
[辩称, 头衔]
[社会中, 空中]
[变色龙, 衣锦还乡]
[减价, 送人]
[头像, 减低]
[鸡肝, 鸡脚]
[凑合, 送命]
[空旷, 突显]
[回荡, 回落]
[安全帽, 窄幅]
[兰亭, 辨识]
[回蓝, 四叶草]
[兰州, 郑州]
[辩诉, 差不离]
[窥见, 罕见]
[减让, 决不让]
[状语, 辩证]
[突围, 空置]
[穷国, 空车]
[鸡鸣, 驰名中外]
[社会科学院, 穿透]
[前项, 前期]
[圆环, 回天]
[窥探, 窘迫]
[圆场, 回声]
[空手, 穿插]
[瘦马, 前驱]
[官僚资本, 空闲]
[回溯, 圆润]
[回滚, 回流]
[空前, 窗前]
[究竟, 空间]
[空翻, 安全系数]
[安贫乐道, 宣传科]
[前肢, 前脚]
[回国, 回车]
[圆圆, 回回]
[空费, 补偿费]
[穴位, 空位]
[穷追, 窥伺]
[遂平, 首鼠两端]
[前列, 煎熬]
[鸡毛, 巴尔特]
[半边天, 前天]
[半月刊, 前进]
[窗户, 空房]
[鸡西, 鸡丁]
[瘦脸, 前脸]
[瘸腿, 前腿]
[前去, 剪去]
[回炉, 回廊]
[前路, 前蹄]
[前景, 剪影]
[回身, 圆筒]
[诡诈, 这句话]
[圆柱, 回校]
[回头, 圆头]
[回信, 圆领]
[它在, 它还]
[回合, 回叙]
[义项, 诉苦]
[总服务台, 剪径]
[回访, 回文]
[离骚, 义马]
[痈疽, 瘦瘦]
[剖腹产, 瘦瘪]
[剪头, 前头]
[前行, 前生]
[前身, 瘦身]
[前途, 前例]
[齐白石, 读后感]
[剪刀, 剃须刀]
[义卖, 离场]
[高质量, 离题]
[变质岩, 离岸]
[轰轰烈烈, 囫囵吞枣]
[默默无语, 默默无言]
[养鸡, 斗鸡]
[田里, 田野]
[诛心, 离心]
[总支出, 装出]
[冰雪聪明, 壮阳]
[壮胆, 斗胆]
[团团转, 田园]
[立地成佛, 前无古人]
[神经兮兮, 它从]
[壮大, 养大]
[离家, 义冢]
[养成, 装成]
[装下, 背城一战]
[家乡话, 它为]
[养蚕, 闭环]
[斗士, 壮士]
[装运, 凌云]
[凌海, 养活]
[诉状, 交白卷]
[养汉, 壮汉]
[装满, 装潢]
[闭上, 装上]
[养眼, 闭眼]
[冷却器, 闭口]
[离任, 误操作]
[祖墓, 神墓]
[诉说, 离谱]
[六年级, 高年级]
[养胃, 壮男]
[言近旨远, 离线]
[神驰, 神马]
[神通, 神勇]
[福彩, 神采]
[神力, 视力]
[养鱼, 北朝鲜]
[穿衣服, 礼服]
[装裱, 壮实]
[福寿, 祝寿]
[轻车熟路, 田亮]
[礼教, 社教]
[装卸, 壮年]
[神武, 社址]
[凌乱, 斗智]
[新动向, 养身]
[新干线, 闭结]
[闺女, 养女]
[祖师, 禅师]
[半封建, 装嫩]
[订正, 订下]
[辛亥, 闺房]
[壮族, 羌族]
[社团, 审计署]
[祖宗, 禅宗]
[祖庙, 神庙]
[神魔, 神灯]
[视察, 视窗]
[盖世, 半世]
[美萍, 着落]
[神木, 福柯]
[福气, 神气]
[神鬼, 祛魅]
[病院, 美院]
[神道, 祸首]
[这可以, 就可以]
[订书, 调查局]
[半子, 盖子]
[客户部, 礼部]
[视差, 祛病]
[病区, 美欧]
[神秘, 礼乐]
[视乎, 社科]
[前列腺, 美貌]
[半边, 靖边]
[着力, 羊肠]
[羞臊, 美加]
[祖父, 神父]
[前事不忘, 病态]
[凄艳, 美艳]
[立于不败之地, 羞辱]
[盖有, 病历]
[善于, 羞于]
[善恶, 美恶]
[社交, 社论]
[半截, 病夫]
[半天, 前两天]
[祷文, 官方语言]
[半坡, 盖起]
[神主, 社评]
[善款, 冰天雪地]
[盖脸, 美股]
[羊腿, 美腿]
[姜汤, 羊汤]
[订立, 订阅]
[善睐, 盖上]
[减速器, 病患]
[美日, 半日]
[半圈, 羊圈]
[判罪, 美甲]
[美国, 叛国]
[凄迷, 着迷]
[靖康, 半数]
[曾一度, 半遮]
[养殖业, 善业]
[羞愧, 凄惶]
[美发, 阑尾]
[美展, 差异]
[美眉, 美丑]
[羞怯, 羞愤]
[羊角, 半角]
[着色, 美色]
[病危, 凄然]
[差错, 美错]
[半句, 美名]
[叛逃, 美钞]
[判案, 病案]
[叛军, 美军]
[病家, 判定]
[善根, 病根]
[善长, 翔升]
[盖顶, 半杯]
[新形势, 病势]
[善后, 病后]
[凄凉, 着凉]
[半道, 美颜]
[盖头, 症状]
[病况, 半部]
[问事处, 判处]
[叛乱, 美籍]
[病笃, 半径]
[新事物, 美称]
[诱惑, 放鞭]
[半程, 病程]
[施用, 为用]
[半分, 美分]
[虐杀, 虐打]
[半个, 症候]
[阎王爷, 凄风]
[放达, 高处不胜寒]
[放大, 为大]
[意下如何, 疾恶如仇]
[言行不一, 设备厂]
[放在, 放还]
[虎穴, 虚空]
[美妞, 美媚]
[半夜, 羞与为伍]
[诱逼, 为副]
[美语, 差评]
[高等教育, 义务教育]
[高等教育出版社, 放过]
[放走, 放盐]
[普天率土, 判读]
[善终, 半张]
[放水, 六盘水]
[为盼, 误入歧途]
[瞒着, 虚症]
[为患, 计算器]
[上世纪, 虚幻]
[话题, 为题]
[旅日, 许昌]
[州里, 为时]
[为学, 放学]
[为由, 旗帜]
[虚词, 虚妄]
[畜牧业, 为业]
[放飞, 许飞]
[施以, 放心]
[为己, 房管局]
[话剧, 旅居]
[为民, 施展]
[商务印书馆, 许多]
[话儿, 话锋]
[旗鱼, 文德尔班]
[为实, 旗袍]
[旅行社, 旅社]
[州官, 为官]
[放宽, 旋塞]
[谢林, 旋木]
[疲于, 着眼于]
[前些天, 丫环]
[计算机, 放松]
[预备役, 圣彼得堡]
[旗手, 放手]
[为后, 诱捕]
[计算所, 忘乎所以]
[话音, 谢意]
[设备部, 商务部]
[为次, 放恣]
[放送, 妄自尊大]
[站点, 着眼点]
[话筒, 放射]
[为乐, 施乐]
[施术, 放榜]
[旅伴, 为伴]
[旋风, 放风]
[双管齐下, 通行证]
[放贷, 高利贷]
[为谁, 施诊]
[放言, 为文]
[话说, 族谱]
[为高, 施训]
[郭德纲, 为纲]
[疲累, 北卡罗来纳]
[放射线, 放线]
[话费, 旅费]
[辅导站, 回收站]
[癞皮狗, 差点儿]
[思念, 思凡]
[总目标, 站票]
[思恋, 思变]
[旁通, 说通]
[商函, 谦逊]
[旁出, 说出]
[高新区, 主产区]
[高姿态, 六亲不认]
[说破, 说不]
[高头大马, 商友]
[讲道理, 说理]
[说声, 商场]
[旁支, 说动]
[商法, 说法]
[商战, 说点]
[旁路, 说中]
[畜产品, 商品]
[商量, 说是]
[商盟, 说明]
[商海, 商洛]
[冰期, 新学期]
[商展, 讳疾忌医]
[旁氏, 说错]
[商标, 旁枝]
[旁白, 说白]
[商丘, 帝皇]
[论资排辈, 望门投止]
[交头接耳, 商报]
[商道, 说道]
[冷清清, 冰光]
[冰河, 冰淇淋]
[皮套, 颇大]
[颇丰, 颇不]
[旁系, 谱系]
[商科, 放冷箭]
[谦和, 说和]
[商船, 商务]
[商机, 商检]
[商校, 详述]
[帝位, 商位]
[旁人, 商人]
[夜总会, 商会]
[商议, 说文]
[肩并肩, 商户]
[详谈, 商谈]
[商旅, 说话]
[谚语, 旁证]
[闪光灯, 冰床]
[冰柱, 新泽西州]
[新消息, 冰片]
[皮实, 皮袍]
[良驹, 良马]
[皮特, 皮毛]
[连队, 国家队]
[音节, 章节]
[童鞋, 间或]
[连天, 连环]
[颇高, 眼观六路]
[意匠, 音区]
[竟达, 韵达]
[音带, 音速]
[闽南, 赣南]
[意志, 童声]
[悲苦, 卡耐基]
[赣江, 闽江]
[音频, 头晕目眩]
[刻录机, 良机]
[连忙, 连心]
[意味, 韵味]
[国家安全部, 连襟]
[悲喜, 悲哉]
[竭尽, 童心]
[非洲, 斐济]
[非法, 颇感兴趣]
[意象, 章句]
[悲恸, 悲愤]
[交工, 夜工]
[瘟疫, 音准]
[交叠, 谁又]
[论及, 设防]
[交出, 认出]
[谁也, 认了]
[韵律, 音律]
[高分子, 高个子]
[童稚, 音符]
[设或, 夜勤]
[六艺, 论艺]
[夜莺, 效劳]
[交期, 设若]
[意念, 音信]
[六月, 夜月]
[马化腾, 难脱]
[谁不, 交还]
[通信地址, 预付款]
[衣食不周, 方便面]
[六大, 夜大]
[谁有, 设有]
[交叉, 夜叉]
[韵文, 童言]
[这几天, 六天]
[音效, 竟夜]
[变化无穷, 夜壶]
[谁都, 论者]
[意义, 间离]
[亢进, 六朝]
[交款, 论坛]
[谁干, 六十]
[交办, 认股]
[意译, 音译]
[讲信用, 效用]
[效法, 设法]
[罗马, 软驱]
[盲人瞎马, 离合悲欢]
[罗隐, 软陶]
[六万, 效死]
[这件事, 交融]
[效忠, 文化路]
[离合器, 交口]
[交易, 夜晚]
[夜里, 郊野]
[非分, 辈分]
[占有欲, 非人]
[非凡, 止不住]
[夜深, 褒赏]
[罗素, 黑色素]
[难懂, 难民]
[豪华车, 夜车]
[六四, 认罪]
[论断, 诊断]
[夜火, 交火]
[六度, 效度]
[冲出, 问出]
[总队, 部队]
[新路子, 半吊子]
[文化局, 设局]
[难度, 观众席]
[罗汉, 蜀汉]
[文件名, 说几句]
[鸭嘴, 蜀中]
[交错, 认错]
[夜宿, 夜空]
[夜视, 六祖]
[部下, 总政]
[竞逐, 总表]
[谯楼, 商住楼]
[冲开, 剖开]
[难行, 巴伐利亚]
[高低杠, 文件柜]
[罗山, 蜀山]
[通风管, 难管]
[减员增效, 总裁]
[总支, 冲动]
[谁的, 交换]
[交兵, 雇佣兵]
[这会儿, 交锋]
[认亲, 六亲]
[论道, 交道]
[论辩, 交卷]
[交稿, 交往]
[总督, 冲上]
[六条, 请假条]
[夜行, 六人行]
[论处, 豪华版]
[难辨, 难关]
[六和, 六种]
[谁要, 六根]
[夜校, 论述]
[难道, 难产]
[认作, 衣食住行]
[六分, 为人作嫁]
[衣食父母, 交货]
[颤悠悠, 六个]
[意味深长, 冲洗]
[效益, 认准]
[谁说, 论说]
[罗盘, 软盘]
[六畜, 效率]
[总则, 兼听则明]
[论调, 夜市]
[软木, 软禁]
[总署, 部署]
[诊费, 交费]
[罗村, 软材]
[罗兰, 鸭头]
[输卵管, 软管]
[冲锋, 竞猜]
[竞拍, 前呼后拥]
[兑奖, 部将]
[癌症, 意味着]
[总长, 部长]
[总分, 部分]
[问谁, 总论]
[部族, 问话]
[总统, 总编]
[总线, 总结]
[暂存, 暂不]
[曾国藩, 单薄]
[黑手党, 轻描淡写]
[曾于, 单于]
[单元, 曾远]
[畜养, 离乡背井]
[畜牲, 畜牧]
[单口, 闸口]
[单车, 装甲车]
[转氨酶, 黑白配]
[兽性, 单发]
[单键, 痴男怨女]
[暂住, 暂停]
[新墨西哥州, 单核]
[曾想, 新思想]
[前思后想, 单打]
[痼疾, 单产]
[曾将, 美轮美奂]
[闸门, 单门]
[闸阀, 兽疫]
[议院, 设计院]
[单音, 单间]
[文雅, 刘亦菲]
[单体, 章回体]
[美国佬, 单传]
[兽群, 单姓]
[文友, 访友]
[单刀, 闸刀]
[高效能, 方能]
[曾为, 兽族]
[曾说, 单说]
[谆谆教导, 方块]
[困苦, 恩格斯]
[文坛, 认认真真]
[方士, 方寸]
[单词, 单肩]
[文王, 方方正正]
[议政, 方正]
[访日, 文昌]
[参议员, 通讯员]
[文学, 语言学]
[方略, 设计图]
[谛听, 文史]
[谈谈心, 方尺]
[文山, 弯弯曲曲]
[请谅解, 谅解]
[文火, 方糖]
[眼珠子, 卡子]
[文气, 设计所]
[上工, 督工]
[方差, 访美]
[文笔, 说说笑笑]
[文稿, 望文生义]
[目击耳闻, 上联]
[文选, 方特]
[言重, 言行]
[督阵, 上阵]
[督办, 上脸]
[文凭, 文件]
[通讯费, 通话费]
[旁敲侧击, 方便]
[端口, 羊肉串]
[上面, 凸面]
[上达, 忐忑不安]
[豪言壮语, 高谈阔论]
[上下班, 上班]
[文帝, 言说]
[语文课, 方剂]
[文豪, 妄言妄听]
[言词, 文盲]
[上上, 叔叔]
[言谈, 访谈]
[忐忑, 上下]
[上列, 上万]
[诉讼费, 设计费]
[上天, 上环]
[凸起, 上坡]
[上过, 卡壳]
[访华, 文化]
[论文集, 文集]
[上海, 皮下注射]
[上流, 上游]
[督战, 凸点]
[上眼, 睁开眼]
[卡车, 上车]
[上口, 上品]
[上一届, 上届]
[多项式, 错开]
[上山, 上岗]
[上界, 凸轮]
[昏沉, 错觉]
[上床, 上灯]
[督府, 上座]
[卡屏, 上屏]
[卡尺, 上心]
[上年, 上一年]
[上镜, 凸镜]
[卡尔, 上锁]
[督察, 上空]
[卢瑟福, 叔祖]
[上策, 上行]
[凸版, 卡片]
[上香, 虚与委蛇]
[端绪, 端线]
[上门, 卡门]
[上装, 战天斗地]
[上部, 紫式部]
[上乘, 上税]
[上集, 卡住]
[金黄色, 金戈铁马]
[上下级, 上级]
[上一个, 上个]
[卡位, 上位]
[上供, 上一代]
[上颌, 叔侄]
[图形, 图式]
[上调, 上市]
[上谕, 上交]
[错误, 龟苓膏]
[上辈子, 步子]
[闷死, 决裂]
[略看, 较往年]
[颦蹙, 卢卡契]
[点点滴滴, 止水]
[步测, 目测]
[图谱, 图说]
[轻重缓急, 图纸]
[慈眉善目, 痛改前非]
[净收入, 总收入]
[皮卡丘, 步兵]
[频次, 目次]
[目送, 点点头]
[迎送, 迎头]
[迎新, 迎亲]
[闪烁其词, 门庭若市]
[圈点, 圈占]
[普选, 普特]
[普京, 普高]
[非洲人, 上海人]
[旧历, 旧有]
[桌布, 桌面]
[旧址, 卓越]
[兼容性, 决定性]
[危及, 猛不防]
[乌龙茶, 迎春花]
[然否, 鲜艳夺目]
[名不副实, 狼奔豕突]
[铁面无私, 犹太教]
[决赛权, 决定权]
[旧称, 旧物]
[亲家母, 曾祖母]
[卓绝, 旧约]
[旧人, 旧俗]
[够不够, 危象]
[旧例, 旧债]
[旧件, 旧作]
[锅碗瓢盆, 危机]
[将其, 奖项]
[输液, 轮流]
[狂犬病, 犯不着]
[乌克兰, 争奇斗艳]
[冲锋陷阵, 次子]
[危途, 煞有介事]
[新鲜感, 奖励]
[资历, 将有]
[次于, 将于]
[点菜, 战功]
[竞争者, 将才]
[普鲁士, 将士]
[轮转, 软件园]
[战地, 占地]
[将是, 产销量]
[奖赏, 资深]
[锄草, 鱼腥草]
[罗伯特, 囚徒]
[战事, 上蹿下跳]
[次男, 瘤胃]
[点到, 占到]
[战魂, 占去]
[卡路里, 战时]
[奖金, 资金]
[久悬不决, 触碰]
[净额, 总金额]
[背包袱, 将被]
[轮值, 团代会]
[将之, 次之]
[将要, 次要]
[解开, 多边形]
[奖章, 恣意]
[战火, 点火]
[奖状, 奖券]
[将我, 资金短缺]
[病急乱投医, 次长]
[将领, 资信]
[点拨, 占据]
[虎口逃生, 战犯]
[将会, 净值]
[钥匙, 解题]
[点名, 点钟]
[奖旗, 将为]
[战船, 战舰]
[关键词, 资讯]
[点检, 战机]
[点校, 战术]
[战歌, 点歌]
[点头, 点券]
[战将, 点将]
[战线, 占线]
[卡哇伊, 占分]
[狗胆包天, 色胆包天]
[连绵不断, 连续不断]
[解禁, 解梦]
[累赘, 累死]
[角标, 角票]
[解手, 触手]
[点亮, 点就]
[战旗, 占为]
[累坏, 累垮]
[解决, 解闷]
[闻所未闻, 前所未闻]
[多用户, 解雇]
[连续性, 连贯性]
[新年快乐, 斗批改]
[针式, 针形]
[钱眼, 针眼]
[钱塘江, 镇江]
[养兵千日, 辩护律师]
[总揽全局, 意气风发]
[针叶, 金无足赤]
[钱包, 铜墙铁壁]
[留声机, 铲土机]
[罚球, 罪该万死]
[新花, 新茶]
[新月, 亲朋]
[詈骂, 转户口]
[较易, 较晚]
[新历, 亲历]
[新型, 新式]
[新声, 冷酷无情]
[新股, 新办]
[新潮, 新法]
[闲事, 亲事]
[亲口, 新品]
[亲昵, 闲暇]
[较多, 罚金]
[轻诺寡信, 较窄]
[新帖, 新贴]
[鲜花, 印花]
[闲饭, 美术馆]
[铺成, 印成]
[新字, 美术字]
[较佳, 默认值]
[不甘落后, 大巧若拙]
[冰醋酸, 亲本]
[不甚了了, 碟子]
[新招, 亲热]
[较为, 转变为]
[闲扯, 新年]
[新近, 亲近]
[金玉满堂, 鱼水]
[亲善, 闲着]
[印泥, 鱼汤]
[狼吞虎咽, 多一点]
[闲适, 新知]
[酋长, 尊长]
[磺胺, 左边]
[新作, 新任]
[亲爹, 新风]
[遵命, 新余]
[亲传, 新会]
[不期而然, 大惑不解]
[资本主义国家, 盖棺论定]
[新房, 新词]
[尊为, 闲话]
[鱼贩, 鱼网]
[胡萝卜素, 左上]
[大项目, 胡萝卜]
[新颖, 新乡]
[砸开, 三七开]
[新疆, 装配线]
[左掌, 成功学]
[印发, 鱼尾]
[鲜肉, 鱼肉]
[兔死狗烹, 鱼卵]
[独来独往, 鱼儿]
[独到之处, 多事之秋]
[留一手, 狙击手]
[铺排, 鳞爪]
[铺头, 鱼头]
[铺装, 铺天盖地]
[铺盖, 鲜美]
[道出, 产出]
[鲜食, 印信]
[厮杀, 厮打]
[左手, 布莱希特]
[疾奔, 疲惫不堪]
[道奇, 音乐厅]
[颜面, 首页]
[锦囊妙计, 鱼丸]
[疾驰, 疾驶]
[泰戈尔, 布莱尔]
[道观, 道德观]
[大功告成, 不攻自破]
[产于, 产生于]
[碟机, 耍花枪]
[首场, 道场]
[道士, 斗牛士]
[外环线, 鱼贯]
[道边, 疼爱]
[道来, 首恶]
[道理, 前程万里]
[新德里, 道里]
[丰功伟绩, 左倾]
[卢布, 凹面]
[钟点工, 钻戒]
[首轮, 音乐界]
[首车, 酋长国]
[大功率, 成功率]
[左方, 百花齐放]
[痛彻心扉, 痴心]
[疾书, 意向书]
[钻石, 钻研]
[首府, 首座]
[外敷, 外表]
[外形, 外型]
[外事, 外带]
[太阳花, 不及其余]
[外场, 外卖]
[钻进, 钻井]
[首犯, 新生儿]
[疾病, 疯牛病]
[太阳能, 原子能]
[道行, 产生]
[头等舱, 首航]
[首要, 首先要]
[首份, 道人]
[产值, 音乐会]
[首例, 音乐盒]
[外省, 外海]
[外轮, 外界]
[外置, 外围]
[单行线, 痴线]
[首级, 部长级]
[外心, 钻心]
[外快, 触目惊心]
[外逃, 外销]
[外宣, 外家]
[外向, 外币]
[尔虞我诈, 钻入]
[外务, 猴皮筋]
[外甥, 外行]
[外倾, 外化]
[外交, 外设]
[外方, 外文]
[外族, 外话]
[立志, 立场]
[不及格, 有隙可乘]
[不及物动词, 有出入]
[端端正正, 北半球]
[立正, 立下]
[北斗星, 阅览]
[北美洲, 北部湾]
[总产量, 新问题]
[闭门思过, 新装置]
[新产品, 养痈遗患]
[新闻发言人, 新闻发布会]
[慈善家, 立定]
[半决赛, 首善之区]
[销到, 逃到]
[销魂, 逃去]
[逃学, 昏沉沉]
[立德, 立等]
[立秋, 阐释]
[阐述, 立柱]
[雄劲, 不对劲]
[销路, 逃跑]
[销量, 锁匙]
